Y轴坐标,主轴转速,Y轴功率,主轴功率,主轴负载,X轴负载,Y轴负载,Z轴负载,X轴电流,Y轴电流,Z轴电流,刃1磨损值,刃2磨损值,平均磨损值
28.756,5308.456,1.471,237.306,1.764,0.116,3.058,14.966,0.022,-0.48,-2.642,0.038044585,0.036241146,0.037142865
28.096,5307.598,1.471,228.517,1.758,0.14,2.966,14.6,0.015,-0.547,-2.635,0.038155846,0.036581618,0.037368732
28.096,5307.598,1.471,228.517,1.758,0.14,2.966,14.6,0.015,-0.547,-2.635,0.038461912,0.036643662,0.037552787
27.416,5307.426,1.471,228.517,1.758,0.189,3.027,14.655,0.029,-0.526,-2.646,0.038677119,0.036765292,0.037721206
27.416,5307.426,1.471,228.517,1.758,0.189,3.027,14.655,0.029,-0.526,-2.646,0.038973884,0.03691988,0.037946882
26.756,5307.999,1.471,228.517,1.752,0.079,2.856,14.795,0.015,-0.518,-2.637,0.03909378,0.037036269,0.038065024
26.756,5307.999,1.471,228.517,1.752,0.079,2.856,14.795,0.015,-0.518,-2.637,0.039222702,0.037356381,0.038289541
26.096,5307.198,1.471,228.517,1.752,0.165,3.137,14.691,0.015,-0.54,-2.651,0.039551522,0.037739554,0.038645538
26.096,5307.198,1.471,228.517,1.752,0.165,3.137,14.691,0.015,-0.54,-2.651,0.039925777,0.03813452,0.039030149
25.416,5307.026,1.471,237.306,1.764,0.128,3.192,14.917,0.021,-0.545,-2.687,0.039978265,0.038330632,0.039154448
24.756,5307.77,1.471,237.306,1.77,0.079,2.673,14.667,0.024,-0.523,-2.676,0.040180803,0.03838686,0.039283832
24.756,5307.77,1.471,237.306,1.77,0.079,2.673,14.667,0.024,-0.523,-2.676,0.040391215,0.038724543,0.039557879
24.096,5307.426,1.471,237.306,1.776,0.146,3.033,15.009,0.019,-0.504,-2.692,0.04076192,0.038827163,0.039794541
24.096,5307.426,1.471,237.306,1.776,0.146,3.033,15.009,0.019,-0.504,-2.692,0.040871985,0.039076208,0.039974096
